@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Mean_1.0 numeric
@attribute Minimum_1.0 numeric
@attribute Median_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Mean_2.0 numeric
@attribute Minimum_2.0 numeric
@attribute Median_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Mean_4.0 numeric
@attribute Minimum_4.0 numeric
@attribute Median_4.0 numeric
@attribute class {plant1,plant2,plant3,background}

@data
73.333333,36,48,79,73.333333,71.666667,65,73,72.333333,70.333333,55.666667,72,69.333333,67.333333,47,67.666667,plant1
76.333333,36,46,82,76.333333,75,70.666667,75.666667,75.333333,74,65,74,72,68,46,69.333333,plant1
76.333333,39,40,81,76.333333,77.333333,73,76.666667,77,76.333333,69.666667,76.333333,74.333333,70,46.666667,72.666667,plant1
80.666667,42,39,85,80.666667,78.666667,73.333333,78.666667,79,77,69.666667,78,75.333333,71.333333,47,73.666667,plant1
81.333333,42,33,85,81.333333,79.333333,76,79.333333,79.333333,77.333333,69.666667,77.666667,76.333333,72.666667,52.333333,74.666667,plant1
58.666667,36,55,64,59,62.666667,55.666667,62,62,65.333333,55.666667,65.333333,65.666667,66.666667,48.333333,68.333333,plant1
67.666667,36,48,73,67.666667,66.666667,55.666667,67,66.666667,66.666667,55.666667,66,66.666667,66.666667,48,68,plant1
75.666667,36,44,81,75.666667,72.666667,65.333333,74,73,69.333333,55.666667,70.666667,69,66.666667,45,68,plant1
79.333333,39,39,84,79,75.666667,72.333333,76,76.333333,72.666667,62,74,71.666667,67.333333,44.666667,69,plant1
78.333333,42,34,82,78.333333,77.666667,74,78,77.333333,75.333333,62.333333,76,73.666667,69.666667,44.666667,72.333333,plant1
88.666667,70,64,103,88.666667,89,79.333333,88.333333,89,88.666667,77,86.333333,88.333333,88.333333,73.666667,87,plant2
100,66,56,113,99.666667,96.666667,86,100,97,93.333333,79.333333,96,92.666667,90,74.333333,89.333333,plant2
104,66,54,117,103.333333,100,96,100,100.333333,97,86,97.333333,95.333333,91.333333,77,92,plant2
79.666667,70,70,94,79.666667,82,77,81.333333,81.666667,84.333333,77,84.333333,85,87,72.333333,85.666667,plant2
86,68,66,100,86,86.666667,77,86,86.666667,87.666667,77,85,87.666667,88.333333,72.666667,88,plant2
96,66,58,109,96,93.333333,81.666667,94,93.666667,91.333333,77,90,91.333333,90.666667,77,89.666667,plant2
100,66,56,113,100,97,90,97.333333,97.666667,94.666667,81.666667,96.666667,94,91.333333,77,92.333333,plant2
97.333333,64,57,110,97.333333,98.333333,93.666667,98,98,97,84,97.333333,95.666667,91.666667,76.333333,92.333333,plant2
79,75,72,95,79,81.333333,77,81.333333,81,82.666667,73,82,83.666667,85.666667,72.666667,85.333333,plant2
77,73,72,92,78,82,77,82,81,84.666667,77,84.333333,85,87,72.666667,86,plant2
81.666667,70,69,96,82,85,77,84.666667,84.333333,86.666667,77,85,87.333333,89,73,88,plant2
90,68,63,104,90,89,81.666667,86.333333,89.333333,89.666667,77,88,90,90.666667,77,90.666667,plant2
94,68,61,108,94,92.666667,83.333333,94.333333,93,92.333333,81.333333,94.333333,92,91,76,91.666667,plant2
96.666667,67,57,110,96.666667,96.666667,84,97.333333,96.666667,94.333333,82.333333,96,93.333333,90,71,90.333333,plant2
103,68,56,117,102.666667,98.666667,93.333333,98,99,94,82.333333,95.333333,93,88.666667,70.666667,89.666667,plant2
83.666667,80,66,100,83.666667,83.666667,77,83.666667,84,84,73,84.333333,85,86.333333,73,86,plant2
85.666667,78,63,101,85.666667,84.666667,77,85,85.333333,85.666667,77,85,86.333333,87,73,86.333333,plant2
85,76,63,100,85,85.666667,77,85.666667,85.666667,86.666667,77,86,87.333333,89,73,88.333333,plant2
83.333333,74,65,98,83.666667,86.333333,81.333333,85,86,88.666667,77,87,88.666667,90,76,90.333333,plant2
84,74,62,98,85,88.333333,82.333333,86,87.666667,90,78,89,89.666667,90.333333,71,90.333333,plant2
93.333333,70,55,106,93.333333,92,82.333333,93,92,91,76.333333,90,90,88.666667,71,89,plant2
102.333333,69,54,116,101.333333,94.666667,84.666667,95.333333,95.333333,90.333333,76.333333,92.333333,90,86.666667,70.666667,86,plant2
89.666667,80,62,106,89.666667,88.666667,79.666667,89.666667,88.666667,87,74.666667,87.666667,87,86.666667,73,86,plant2
91.666667,80,61,108,91.666667,90,83.666667,90,90,88,77,89.666667,88.333333,87.333333,73,87.333333,plant2
90,78,62,106,90,89.333333,83.333333,90,89.333333,88.666667,77,88.333333,88.666667,88.666667,74.666667,88.333333,plant2
