@relation segment

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute 'Kuwahara_19_ 10_0' numeric
@attribute 'Kuwahara_19_ 10_1' numeric
@attribute 'Kuwahara_19_ 10_2' numeric
@attribute Sobel_filter_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Minimum_1.0 numeric
@attribute Maximum_1.0 numeric
@attribute Median_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Minimum_2.0 numeric
@attribute Maximum_2.0 numeric
@attribute Median_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Minimum_4.0 numeric
@attribute Maximum_4.0 numeric
@attribute Median_4.0 numeric
@attribute class {plant1,plant2,plant3,background}

@data
57.666667,49,74,65,58,58,58,12.333333,57.666667,12.666667,55.666667,63.666667,59,59.333333,15,53.666667,66.666667,59.333333,59.666667,9.666667,53.666667,66.666667,59,plant1
57.666667,44,71,64,59.333333,59.333333,59.333333,15.333333,57.666667,14.333333,53.666667,61,57.666667,58.333333,10,52.666667,62.666667,57.666667,57.666667,5.666667,50.333333,65.666667,57.666667,plant1
60.333333,47,68,67,60.666667,60.666667,60.666667,3.666667,60.333333,3.666667,57.333333,61,59,59,3,53.666667,62.666667,59,58.333333,2.666667,50.333333,64.666667,57.666667,plant1
60.333333,47,68,67,59.333333,59.333333,59.333333,2.666667,60.333333,2.666667,57.333333,60.666667,59,59.333333,2,54.666667,63.666667,58.666667,58.333333,1.666667,50.333333,66.666667,57.666667,plant1
59,45,66,65,58,58,58.666667,12.666667,59,12.666667,55.666667,63.666667,59,58.666667,8.333333,53.666667,64.666667,58.666667,58.333333,3.333333,50.333333,66.666667,57.666667,plant1
56.666667,44,72,63,56.666667,56.666667,57.333333,30.666667,56.666667,28.666667,53.666667,64.333333,57.666667,58.333333,19.666667,53.666667,66.666667,57.666667,58.333333,7,51.333333,66.666667,57.666667,plant1
55.666667,44,74,62,57.333333,57.333333,57.333333,37.333333,55.666667,35.333333,53.666667,64.333333,55.666667,57.666667,24.666667,53.666667,66.666667,57.333333,58.333333,9.666667,53.666667,66.666667,58.666667,plant1
55.666667,44,74,62,57,57,57,27.333333,55.666667,26.333333,53.666667,64.333333,55.666667,57,20.333333,53.666667,66.666667,57.333333,58.333333,9.666667,53.666667,66.666667,58.666667,plant1
59,45,66,65,59.333333,59.333333,59.333333,6,59,6,57.666667,60.333333,59,59,4.666667,53.666667,61,59,58,3.666667,50.333333,63.666667,57.666667,plant1
59,45,66,65,59.333333,60.333333,60.333333,8,59,7,57.666667,60.333333,59,59,4,55.666667,60.666667,59,58.333333,2,52.333333,64.666667,57.666667,plant1
